Time,MutualInformation,Variance,Count,SEM,n_particles,gain,kappa,tau
1.3800000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.3900000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.4000000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.41,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.42,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.43,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.44,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.45,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.46,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.47,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.48,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.49,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.5,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.51,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.52,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.53,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.54,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.55,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.56,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.57,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.58,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.59,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.6,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.61,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.62,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.6300000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.6400000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
1.6500000000000001,0.0,0.0,2048,0.0,1024,0.0,100.0,2.0
